ls_id,cluster,classifications,disturbed_weighted_fraction,disturbed_unweighted_fraction,merger_weighted_fraction,merger_unweighted_fraction,tail_weighted_fraction,tail_unweighted_fraction,problem_weighted_fraction,problem_unweighted_fraction,disturbed_weighted_votes,disturbed_unweighted_votes,merger_weighted_votes,merger_unweighted_votes,tail_weighted_votes,tail_unweighted_votes,problem_weighted_votes,problem_unweighted_votes,ra,dec,type,z_spec,z_phot_mean,z_phot_median,z_phot_l95,z_phot_u95,dered_mag_g,mag_g,snr_g,dered_mag_r,mag_r,snr_r,dered_mag_z,mag_z,snr_z,g_r,sersic,shape_r
9906623172838209,MKW 8,10.0,0.2857142857142857,0.2857142857142857,0.5,0.5,0.5,0.5,0.3,0.3,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,220.1403050625889,4.576911321177644,REX,-99.0,0.098303,0.099444,0.074201,0.12473,18.612867,18.727076,269.02176000000003,18.10341,18.180342,315.99582000000004,17.709667,17.752699,227.42902,0.546734,1.0,2.277287
9906623172840712,MKW 8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0,220.23315801016884,4.5463512364840435,SER,0.156372,0.15375,0.152506,0.142978,0.168512,18.034443,18.142275,307.58444,16.947708,17.020346,476.54086,16.238012,16.278643,452.97046,1.121929,4.36147,4.135075
9906623172842955,MKW 8,10.0,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,1.0,0.1,0.1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,220.3240844068577,4.593103879094573,SER,0.057372,0.028986,0.021485,0.014477,0.07285599999999999,17.506487,17.614117,580.4778,16.913048,16.985548,733.1156,16.563204000000002,16.603756,517.6516,0.6285689999999999,2.347006,3.1200900000000003
9906623172903338,MKW 8,10.0,0.125,0.125,0.0,0.0,1.0,1.0,0.2,0.2,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,220.37903925208286,4.52022374749792,EXP,-99.0,0.07157100000000001,0.065493,0.033464999999999995,0.135844,18.396095000000003,18.501291000000002,284.97745,17.93178,18.002642,328.24744,17.550373,17.59001,198.09756000000002,0.49865,1.0,5.812886
9906623172905815,MKW 8,10.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.5,0.5,0.3,0.3,4.0,4.0,0.0,0.0,2.0,2.0,3.0,3.0,220.4858616626866,4.616997853353031,SER,-99.0,0.030170999999999996,0.026895,0.0112,0.06507,18.597866,18.702892000000002,231.0437,18.311426,18.382174,207.12543,18.147873,18.187445,120.927475,0.32071900000000003,1.156505,5.050445
9906623172906969,MKW 8,10.0,0.2222222222222222,0.2222222222222222,0.5,0.5,0.0,0.0,0.1,0.1,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,220.53639426615158,4.420303984546475,SER,0.131313,0.10741700000000001,0.11106400000000001,0.071616,0.129692,17.789072,17.888745999999998,506.35985999999997,16.846766,16.913908,809.7475,16.091179999999998,16.128736,794.1188400000001,0.9748379999999999,1.9429939999999999,3.5403849999999997
9906623172907810,MKW 8,10.0,0.2,0.2,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,220.57996539462627,4.4553798934282565,SER,0.071436,0.09010399999999999,0.089688,0.059439,0.117834,17.170141,17.273968,739.4377400000001,16.52863,16.598568,962.9362,16.025398000000003,16.064518,737.90485,0.6754,0.775159,3.3965650000000003
9906623172908444,MKW 8,10.0,0.125,0.125,0.0,0.0,1.0,1.0,0.2,0.2,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,220.61062152867814,4.4798927586531745,SER,-99.0,0.050384,0.046842,0.022539,0.094963,18.448328,18.553885,250.25017999999997,17.756836,17.827939999999998,335.86713,17.281347,17.32112,216.73221,0.725945,1.7821919999999998,4.319273
9906623172968562,MKW 8,10.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,220.61777631343955,4.50088184502132,SER,-99.0,0.12040899999999999,0.12699100000000002,0.049318,0.16749,18.589373000000002,18.695705,232.6219,17.92657,17.998198000000002,347.87393,17.276526999999998,17.316593,257.36264,0.697508,2.034357,2.868697
9906623172968915,MKW 8,10.0,0.1,0.1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,220.6360176875072,4.430450545390175,SER,0.027238,0.026003,0.025826,0.016837,0.034442,14.490858,14.593675,2141.8528,13.76721,13.836469,2914.7375,13.16184,13.200581,2572.7656,0.757206,2.860214,23.942274
